sourcefile	id	specie	author	endemic_genus	endemic_specie	endemic_subspecie	origin	category	habitat	id_biota	gpsdatetime	latitude	longitude	gpsaltitude	name	medium	class	family	endemicity	domain	division	phylo	order	presence
images/dropbox_links_plantae/FV0039-Echium plantagineum-L.-eg_no-ee_no--np--HMRN-F01188.jpg	FV0039	Echium plantagineum	L.	NO	NO	-	Nativo probable	Especie nativa	HMRN	F01188	04/04/2024	27.9505273888889	-15.6591073611111	1241.673	Palomina, zuaja, lengua oveja, viborina	Terrestre	Magnoliopsida	Boraginaceae	No endémico	Plantae	Spermatophyta	NA	Boraginales	Hs Ps Gs Ts Cs
images/dropbox_links_plantae/FV0047-Plantago arborescens arborescens-Poir.-eg_no-ee_si-es_si-ns--LHR-F01268.jpg	FV0047	Plantago arborescens arborescens	Poir.	NO	SI	SI	Nativo seguro	Especie nativa	LHR	F01268	14/04/2024	28.066393	-15.4605703333333	301.703	Pinillo común	Terrestre	Magnoliopsida	Plantaginaceae	Endémico	Plantae	Spermatophyta	NA	Lamiales	Hs Ps Gs Ts Cs
images/dropbox_links_plantae/FV0051-Cakile maritima maritima-Scop.-eg_no-ee_no-es_no-np--HMRN-F00911.jpg	FV0051	Cakile maritima maritima	Scop.	NO	NO	NO	Nativo probable	Especie nativa	HMRN	F00911	05/04/2024	NA	NA	NA	Rábano marino, mostaza marina	Terrestre	Magnoliopsida	Brassicaceae	No endémico	Plantae	Spermatophyta	NA	Brassicales	Ts Cs Fs Ls
images/dropbox_links_plantae/FV0052-Schizogyne glaberrima-DC-eg_no-ee_si--ns--TC-F01647.jpg	FV0052	Schizogyne glaberrima	DC	NO	SI	-	Nativo seguro	Especie nativa	TC	F01647	05/04/2024	27.9572494722222	-15.38198025	61.32	Salado verde	Terrestre	Magnoliopsida	Asteraceae	Endémico	Plantae	Spermatophyta	NA	Asterales	Ts Cs Fs
images/dropbox_links_plantae/FV0057-Frankenia capitata-Webb et Berthel-eg_no-ee_no--ns--CC_TC_LHR-F00899.jpg	FV0057	Frankenia capitata	Webb et Berthel	NO	NO	-	Nativo seguro	Especie nativa	CC_TC_LHR	F00899	05/04/2024	27.9571698055556	-15.3813828888889	61.241	Tomillo marino pardo, tomillo de mar, sapera	Terrestre	Magnoliopsida	Frankeniaceae	No endémico	Plantae	Spermatophyta	NA	Violales	Hs Ps Gs Ts Cs Fs Ls
images/dropbox_links_plantae/FV0058-Mesembryanthemum crystallinum-L.-eg_no-ee_no--np--LHR-F00083.jpg	FV0058	Mesembryanthemum crystallinum	L.	NO	NO	-	Nativo probable	Especie nativa	LHR	F00083	05/04/2024	27.9569485	-15.3815146388889	67.645	Barrilla, escarchosa, escarcha	Terrestre	Magnoliopsida	Aizoaceae	No endémico	Plantae	Spermatophyta	NA	Caryophyllales	Hs Ps Gs Ts Cs Fs Ls
images/dropbox_links_plantae/FV0059-Launaea arborescens-(Batt.) Murb.-eg_no-ee_no--ns--CC_LHR-F01584.jpg	FV0059	Launaea arborescens	(Batt.) Murb.	NO	NO	-	Nativo seguro	Especie nativa	CC_LHR	F01584	05/04/2024	27.9565600555556	-15.3821981666667	80.689	Ahulaga, aulaga, julaga	Terrestre	Magnoliopsida	Asteraceae	No endémico	Plantae	Spermatophyta	NA	Asterales	Hs Ps Gs Ts Cs Fs Ls
images/dropbox_links_plantae/FV0060-Heliotropium ramosissimum-(Lehm.) Sieber ex DC-eg_no-ee_no--ns--LHR_HMRN-F01203.jpg	FV0060	Heliotropium ramosissimum	(Lehm.) Sieber ex DC	NO	NO	-	Nativo seguro	Especie nativa	LHR_HMRN	F01203	05/04/2024	27.9564085833333	-15.3826175555556	82.943	Camellera, hierba camellera, alacrancillo, heliotropo	Terrestre	Magnoliopsida	Boraginaceae	No endémico	Plantae	Spermatophyta	NA	Boraginales	Ps Gs Ts Cs Fs Ls
images/dropbox_links_plantae/FV0061-Cuscuta planiflora-Ten-eg_no-ee_no--np--TC_BT_LHR-F01162.jpg	FV0061	Cuscuta planiflora	Ten	NO	NO	-	Nativo probable	Especie nativa	TC_BT_LHR	F01162	05/04/2024	27.95609325	-15.3845030555556	81.457	Greña común, cuscuta, rabia	Terrestre	Magnoliopsida	Convolvulaceae	No endémico	Plantae	Spermatophyta	NA	Solanales	Hs Ps Gs Ts Cs Fs Ls
images/dropbox_links_plantae/FV0062-Cakile maritima maritima-Scop.-eg_no-ee_no-es_no-np--HMRN-F00911.jpg	FV0062	Cakile maritima maritima	Scop.	NO	NO	NO	Nativo probable	Especie nativa	HMRN	F00911	05/04/2024	27.9628189722222	-15.3822076944444	65.333	Rábano marino, mostaza marina	Terrestre	Magnoliopsida	Brassicaceae	No endémico	Plantae	Spermatophyta	NA	Brassicales	Ts Cs Fs Ls
images/dropbox_links_plantae/FV0063-Mesembryanthemum nodiflorum-L.-eg_no-ee_si--np--LHR-F00084.jpg	FV0063	Mesembryanthemum nodiflorum	L.	NO	SI	-	Nativo probable	Especie nativa	LHR	F00084	05/04/2024	28.0320729444444	-15.3995336944444	48.127	Cosco, barrilla, bastoncil	Terrestre	Magnoliopsida	Aizoaceae	No endémico	Plantae	Spermatophyta	NA	Caryophyllales	Hs Ps Gs Ts Cs Fs Ls
images/dropbox_links_plantae/FV0065-Suaeda vermiculata-Forssk. ex J. F. Gmel.-eg_no-ee_no--isn-ei-CC_HMRN-F02407.jpg	FV0065	Suaeda vermiculata	Forssk. ex J. F. Gmel.	NO	NO	-	Introducido seguro no invasor	Especie introducida	CC_HMRN	F02407	05/04/2024	28.0314125555556	-15.3982907222222	63.524	NA	Terrestre	Magnoliopsida	Chenopodiaceae	No endémico	Plantae	Spermatophyta	NA	Caryophyllales	Ts Cs Fs Ls
images/dropbox_links_plantae/FV0067-Lysimachia arvensis-(L.) U. Manns & Anderb.-eg_no-ee_no--np--LHR_HMRN-F01021.jpg	FV0067	Lysimachia arvensis	(L.) U. Manns & Anderb.	NO	NO	-	Nativo probable	Especie nativa	LHR_HMRN	F01021	05/04/2024	28.0322833888889	-15.3997894444444	55.515	Muraje común, hierba del cielo, peralillo, tarrillo	Terrestre	Magnoliopsida	Primulaceae	No endémico	Plantae	Spermatophyta	NA	Ericales	Hs Ps Gs Ts Cs Fs Ls
images/dropbox_links_plantae/FV0068-Astydamia latifolia-(L.f.) Baill-eg_no-ee_no--ns--CC-F00815.jpg	FV0068	Astydamia latifolia	(L.f.) Baill	NO	NO	-	Nativo seguro	Especie nativa	CC	F00815	05/04/2024	28.0328193888889	-15.4007308333333	65.324	Lechuga de mar, servilleta	Terrestre	Magnoliopsida	Apiaceae	No endémico	Plantae	Spermatophyta	NA	Apiales	Hs Ps Gs Ts Cs Fs Ls
images/dropbox_links_plantae/FV0069-Juncus acutus-L.-eg_no-ee_no--np---F02230.jpg	FV0069	Juncus acutus	L.	NO	NO	-	Nativo probable	Especie nativa		F02230	15/04/2024	27.7424734722222	-15.5952548888889	0	NA	Terrestre	Liliopsida	Juncaceae	No endémico	Plantae	Spermatophyta	NA	Juncales	Ps Gs Ts Cs Fs Ls
images/dropbox_links_plantae/FV0070-Cyperus capitatus-Vand.-eg_no-ee_no--ns--HS_LHR-F01838.jpg	FV0070	Cyperus capitatus	Vand.	NO	NO	-	Nativo seguro	Especie nativa	HS_LHR	F01838	15/04/2024	27.7390408055556	-15.5909450555556	42.764	Juncia marina, Junquillo	Terrestre	Liliopsida	Cyperaceae	No endémico	Plantae	Spermatophyta	NA	Cyperales	Ps Ts Cs Fs Ls
images/dropbox_links_plantae/FV0071-Schizogyne glaberrima-DC-eg_no-ee_si--ns--TC-F01647.jpg	FV0071	Schizogyne glaberrima	DC	NO	SI	-	Nativo seguro	Especie nativa	TC	F01647	15/04/2024	27.7424734722222	-15.5952548888889	0	Salado verde	Terrestre	Magnoliopsida	Asteraceae	Endémico	Plantae	Spermatophyta	NA	Asterales	Ts Cs Fs
images/dropbox_links_plantae/FV0073-Plocama pendula-Aiton-eg_si-ee_si--ns--TC-F01091.jpg	FV0073	Plocama pendula	Aiton	SI	SI	-	Nativo seguro	Especie nativa	TC	F01091	10/04/2024	27.7910557222222	-15.52632325	65.495	Balo	Terrestre	Magnoliopsida	Rubiaceae	Endémico	Plantae	Spermatophyta	NA	Gentianales	Hs Ps Gs Ts Cs Fs
images/dropbox_links_plantae/FV0076-Cyperus capitatus-Vand.-eg_no-ee_no--ns--HS_LHR-F01838.jpg	FV0076	Cyperus capitatus	Vand.	NO	NO	-	Nativo seguro	Especie nativa	HS_LHR	F01838	22/04/2024	27.8677106666667	-15.3918020833333	124.51	Juncia marina, Junquillo	Terrestre	Liliopsida	Cyperaceae	No endémico	Plantae	Spermatophyta	NA	Cyperales	Ps Ts Cs Fs Ls
images/dropbox_links_plantae/FV0077-Plocama pendula-Aiton-eg_si-ee_si--ns--TC-F01091.jpg	FV0077	Plocama pendula	Aiton	SI	SI	-	Nativo seguro	Especie nativa	TC	F01091	22/04/2024	27.8684602777778	-15.3934780555556	197.718	Balo	Terrestre	Magnoliopsida	Rubiaceae	Endémico	Plantae	Spermatophyta	NA	Gentianales	Hs Ps Gs Ts Cs Fs
