sourcefile	id	specie	author	endemic_genus	endemic_specie	endemic_subspecie	origin	category	habitat	id_biota	gpsdatetime	latitude	longitude	gpsaltitude	name	medium	class	family	endemicity	domain	division	phylo	order	presence
images/dropbox_links_plantae/FV0246-Launaea arborescens-(Batt.) Murb.-eg_no-ee_no--ns--CC_LHR-F01584.jpg	FV0246	Launaea arborescens	(Batt.) Murb.	NO	NO	-	Nativo seguro	Especie nativa	CC_LHR	F01584	06/05/2024	27.7455296111111	-15.5945654444444	55.603	Ahulaga, aulaga, julaga	Terrestre	Magnoliopsida	Asteraceae	No endémico	Plantae	Spermatophyta	NA	Asterales	Hs Ps Gs Ts Cs Fs Ls
images/dropbox_links_plantae/FV0247-Cyperus capitatus-Vand.-eg_no-ee_no--ns--HS_LHR-F01838.jpg	FV0247	Cyperus capitatus	Vand.	NO	NO	-	Nativo seguro	Especie nativa	HS_LHR	F01838	06/05/2024	27.7455064166667	-15.5944880833333	55.924	Juncia marina, Junquillo	Terrestre	Liliopsida	Cyperaceae	No endémico	Plantae	Spermatophyta	NA	Cyperales	Ps Ts Cs Fs Ls
images/dropbox_links_plantae/FV0250-Cyperus capitatus-Vand.-eg_no-ee_no--ns--HS_LHR-F01838.jpg	FV0250	Cyperus capitatus	Vand.	NO	NO	-	Nativo seguro	Especie nativa	HS_LHR	F01838	06/05/2024	27.7453952777778	-15.5950891111111	60.042	Juncia marina, Junquillo	Terrestre	Liliopsida	Cyperaceae	No endémico	Plantae	Spermatophyta	NA	Cyperales	Ps Ts Cs Fs Ls
images/dropbox_links_plantae/FV0251-Heliotropium ramosissimum-(Lehm.) Sieber ex DC-eg_no-ee_no--ns--LHR_HMRN-F01203.jpg	FV0251	Heliotropium ramosissimum	(Lehm.) Sieber ex DC	NO	NO	-	Nativo seguro	Especie nativa	LHR_HMRN	F01203	06/05/2024	27.7451672777778	-15.5950850277778	59.341	Camellera, hierba camellera, alacrancillo, heliotropo	Terrestre	Magnoliopsida	Boraginaceae	No endémico	Plantae	Spermatophyta	NA	Boraginales	Ps Gs Ts Cs Fs Ls
images/dropbox_links_plantae/FV0253-Plocama pendula-Aiton-eg_si-ee_si--ns--TC-F01091.jpg	FV0253	Plocama pendula	Aiton	SI	SI	-	Nativo seguro	Especie nativa	TC	F01091	06/05/2024	27.7447370555556	-15.5957989166667	53.067	Balo	Terrestre	Magnoliopsida	Rubiaceae	Endémico	Plantae	Spermatophyta	NA	Gentianales	Hs Ps Gs Ts Cs Fs
images/dropbox_links_plantae/FV0256-Rumex lunaria-L.-eg_no-ee_si--ns--BT_LHR_HMRN-F00295.jpg	FV0256	Rumex lunaria	L.	NO	SI	-	Nativo seguro	Especie nativa	BT_LHR_HMRN	F00295	06/05/2024	28.0281535833333	-15.5050445555556	604.444	Vinagrera, calcosa	Terrestre	Magnoliopsida	Polygonaceae	Endémico	Plantae	Spermatophyta	NA	Polygonales	Hs Ps Gs Ts Cs Ft Lt
images/dropbox_links_plantae/FV0259-Heliotropium ramosissimum-(Lehm.) Sieber ex DC-eg_no-ee_no--ns--LHR_HMRN-F01203.jpg	FV0259	Heliotropium ramosissimum	(Lehm.) Sieber ex DC	NO	NO	-	Nativo seguro	Especie nativa	LHR_HMRN	F01203	06/05/2024	27.7443241388889	-15.5941884722222	50.42	Camellera, hierba camellera, alacrancillo, heliotropo	Terrestre	Magnoliopsida	Boraginaceae	No endémico	Plantae	Spermatophyta	NA	Boraginales	Ps Gs Ts Cs Fs Ls
images/dropbox_links_plantae/FV0261-Carduus tenuiflorus-Curtis-eg_no-ee_no--np--HMRN-F01495.jpg	FV0261	Carduus tenuiflorus	Curtis	NO	NO	-	Nativo probable	Especie nativa	HMRN	F01495	06/05/2024	28.0278396388889	-15.5049221944444	605.189	Cardo borriquero, cardo burro	Terrestre	Magnoliopsida	Asteraceae	No endémico	Plantae	Spermatophyta	NA	Asterales	Hs Ps Gs Ts Cs Fs Ls
images/dropbox_links_plantae/FV0262-Convolvulus floridus-L. f.-eg_no-ee_si--ns--TC_BT-F01141.jpg	FV0262	Convolvulus floridus	L. f.	NO	SI	-	Nativo seguro	Especie nativa	TC_BT	F01141	06/05/2024	28.0281643888889	-15.5050905833333	607.798	Guaydil, guaidil, anuel	Terrestre	Magnoliopsida	Convolvulaceae	Endémico	Plantae	Spermatophyta	NA	Solanales	Hs Ps Gs Ts Cs Fs Ls
images/dropbox_links_plantae/FV0264-Adenocarpus foliolosus-(Aiton) DC.-eg_no-ee_si--ns--BF_P-F00475.jpg	FV0264	Adenocarpus foliolosus	(Aiton) DC.	NO	SI	-	Nativo seguro	Especie nativa	BF_P	F00475	06/05/2024	28.006483694444398	-15.5996104444444	1563.388	Codeso de monte	Terrestre	Magnoliopsida	Fabaceae	Endémico	Plantae	Spermatophyta	NA	Fabales	Hs Ps Gs Ts Cs
images/dropbox_links_plantae/FV0281-Kleinia neriifolia-Haw.-eg_no-ee_si--ns--TC_BT_LHR_ZU-F01578.jpg	FV0281	Kleinia neriifolia	Haw.	NO	SI	-	Nativo seguro	Especie nativa	TC_BT_LHR_ZU	F01578	10/05/2024	28.0767263888889	-15.45522475	341.43	Verode, verol	Terrestre	Magnoliopsida	Asteraceae	Endémico	Plantae	Spermatophyta	NA	Asterales	Hs Ps Gs Ts Cs Fs Ls
images/dropbox_links_plantae/FV0283-Artemisia thuscula-Cav.-eg_no-ee_si--ns--TC_BT_LHR-F01428.jpg	FV0283	Artemisia thuscula	Cav.	NO	SI	-	Nativo seguro	Especie nativa	TC_BT_LHR	F01428	10/05/2024	28.07672975	-15.4551497777778	336.299	Incienso canario, incienso morisco, abrotano, incensio	Terrestre	Magnoliopsida	Asteraceae	Endémico	Plantae	Spermatophyta	NA	Asterales	Hs Ps Gs Ts Cs
images/dropbox_links_plantae/FV0286-Euphorbia regis_jubae-Webb & Berthel-eg_no-ee_no--ns--TC-F01392.jpg	FV0286	Euphorbia regis-jubae	Webb & Berthel	NO	NO	-	Nativo seguro	Especie nativa	TC	F01392	10/05/2024	28.0773956944444	-15.4553328055556	327.061	Tabaiba amarga, Tabaiba salvaje, higuerilla	Terrestre	Magnoliopsida	Euphorbiaceae	No endémico	Plantae	Spermatophyta	NA	Malpighiales	Hs Ps Ts Cs Fs Ls
images/dropbox_links_plantae/FV0288-Sonchus leptocephalus-Cass.-eg_no-ee_si--ns--LRH_ER_ZU-F01574.jpg	FV0288	Sonchus leptocephalus	Cass.	NO	SI	-	Nativo seguro	Especie nativa	LRH_ER_ZU	F01574	10/05/2024	28.0775595555556	-15.4552338888889	329.316	balillo alpispillo,alpípere	Terrestre	Magnoliopsida	Asteraceae	Endémico	Plantae	Spermatophyta	NA	Asterales	Gs Ts Cs Fs Ld
images/dropbox_links_plantae/FV0291-Austrocylindropuntia subulata-(Muehlenpf.) Backeb-eg_no-ee_no--isi-ei--E06789.jpg	FV0291	Austrocylindropuntia subulata	(Muehlenpf.) Backeb	NO	NO	-	Introducido seguro invasor	Especie introducida		E06789	10/05/2024	28.0777153333333	-15.4552490277778	325.654	Alfileres de Eva, cacto alesnado, cholla, Eva´s needle cactus, colville cactus	Terrestre	Magnoliopsida	Cactaceae	No endémico	Plantae	Spermatophyta	NA	Caryophyllales	Hs Ps Gs Ts Cs Fs Ls
images/dropbox_links_plantae/FV0292-Sonchus leptocephalus-Cass.-eg_no-ee_si--ns--LRH_ER_ZU-F01574.jpg	FV0292	Sonchus leptocephalus	Cass.	NO	SI	-	Nativo seguro	Especie nativa	LRH_ER_ZU	F01574	10/05/2024	28.0774494444444	-15.4552878333333	327.504	balillo alpispillo,alpípere	Terrestre	Magnoliopsida	Asteraceae	Endémico	Plantae	Spermatophyta	NA	Asterales	Gs Ts Cs Fs Ld
images/dropbox_links_plantae/FV0293-Convolvulus floridus-L. f.-eg_no-ee_si--ns--TC_BT-F01141.jpg	FV0293	Convolvulus floridus	L. f.	NO	SI	-	Nativo seguro	Especie nativa	TC_BT	F01141	10/05/2024	28.0772528611111	-15.4546855277778	331.932	Guaydil, guaidil, anuel	Terrestre	Magnoliopsida	Convolvulaceae	Endémico	Plantae	Spermatophyta	NA	Solanales	Hs Ps Gs Ts Cs Fs Ls
images/dropbox_links_plantae/FV0294-Ipomoea indica-(Burm.) Merr.-eg_no-ee_no--isi-ei--F01157.jpg	FV0294	Ipomoea indica	(Burm.) Merr.	NO	NO	-	Introducido seguro invasor	Especie introducida		F01157	12/05/2024	28.0295738333333	-15.5054371388889	566.797	Campanilla morada, batatilla de Indias	Terrestre	Magnoliopsida	Convolvulaceae	No endémico	Plantae	Spermatophyta	NA	Solanales	Hs Ps Gs Ts Cs Fs
images/dropbox_links_plantae/FV0295-Tropaeolum majus-L.-eg_no-ee_si--isi-ei-HMRN-F00988.jpg	FV0295	Tropaeolum majus	L.	NO	SI	-	Introducido seguro invasor	Especie introducida	HMRN	F00988	12/05/2024	28.0295739166667	-15.5054464444444	568.315	Marañuela, capuchina, mastuerzo	Terrestre	Magnoliopsida	Tropaeolaceae	No endémico	Plantae	Spermatophyta	NA	Brassicales	Hs Ps Gs Ts Cs Fs Ls
images/dropbox_links_plantae/FV0297-Euphorbia regis_jubae-Webb & Berthel-eg_no-ee_no--ns--TC-F01392.jpg	FV0297	Euphorbia regis-jubae	Webb & Berthel	NO	NO	-	Nativo seguro	Especie nativa	TC	F01392	04/04/2024	27.940038666666702	-15.6864828333333	1250.78	Tabaiba amarga, Tabaiba salvaje, higuerilla	Terrestre	Magnoliopsida	Euphorbiaceae	No endémico	Plantae	Spermatophyta	NA	Malpighiales	Hs Ps Ts Cs Fs Ls
images/dropbox_links_plantae/FV0298-Euphorbia regis_jubae-Webb & Berthel-eg_no-ee_no--ns--TC-F01392.jpg	FV0298	Euphorbia regis-jubae	Webb & Berthel	NO	NO	-	Nativo seguro	Especie nativa	TC	F01392	04/04/2024	27.9395668055556	-15.6857187777778	1272.178	Tabaiba amarga, Tabaiba salvaje, higuerilla	Terrestre	Magnoliopsida	Euphorbiaceae	No endémico	Plantae	Spermatophyta	NA	Malpighiales	Hs Ps Ts Cs Fs Ls
images/dropbox_links_plantae/FV0299-Kleinia neriifolia-Haw.-eg_no-ee_si--ns--TC_BT_LHR_ZU-F01578.jpg	FV0299	Kleinia neriifolia	Haw.	NO	SI	-	Nativo seguro	Especie nativa	TC_BT_LHR_ZU	F01578	04/04/2024	27.9403850277778	-15.6770968333333	1290.085	Verode, verol	Terrestre	Magnoliopsida	Asteraceae	Endémico	Plantae	Spermatophyta	NA	Asterales	Hs Ps Gs Ts Cs Fs Ls
images/dropbox_links_plantae/FV0300-Kleinia neriifolia-Haw.-eg_no-ee_si--ns--TC_BT_LHR_ZU-F01578.jpg	FV0300	Kleinia neriifolia	Haw.	NO	SI	-	Nativo seguro	Especie nativa	TC_BT_LHR_ZU	F01578	04/04/2024	27.9403959166667	-15.6770375555556	1292.092	Verode, verol	Terrestre	Magnoliopsida	Asteraceae	Endémico	Plantae	Spermatophyta	NA	Asterales	Hs Ps Gs Ts Cs Fs Ls
images/dropbox_links_plantae/FV0301-Euphorbia regis_jubae-Webb & Berthel-eg_no-ee_no--ns--TC-F01392.jpg	FV0301	Euphorbia regis-jubae	Webb & Berthel	NO	NO	-	Nativo seguro	Especie nativa	TC	F01392	04/04/2024	27.9383006111111	-15.6735561944444	1336.15	Tabaiba amarga, Tabaiba salvaje, higuerilla	Terrestre	Magnoliopsida	Euphorbiaceae	No endémico	Plantae	Spermatophyta	NA	Malpighiales	Hs Ps Ts Cs Fs Ls
images/dropbox_links_plantae/FV0302-Suaeda vermiculata-Forssk. ex J. F. Gmel.-eg_no-ee_no--isn-ei-CC_HMRN-F02407.jpg	FV0302	Suaeda vermiculata	Forssk. ex J. F. Gmel.	NO	NO	-	Introducido seguro no invasor	Especie introducida	CC_HMRN	F02407	23/04/2024	27.8872900555556	-15.3950911944444	50.348	NA	Terrestre	Magnoliopsida	Chenopodiaceae	No endémico	Plantae	Spermatophyta	NA	Caryophyllales	Ts Cs Fs Ls
images/dropbox_links_plantae/FV0306-Cakile maritima maritima-Scop.-eg_no-ee_no-es_no-np--HMRN-F00911.jpg	FV0306	Cakile maritima maritima	Scop.	NO	NO	NO	Nativo probable	Especie nativa	HMRN	F00911	23/04/2024	27.9570975555556	-15.38232425	78.814	Rábano marino, mostaza marina	Terrestre	Magnoliopsida	Brassicaceae	No endémico	Plantae	Spermatophyta	NA	Brassicales	Ts Cs Fs Ls
images/dropbox_links_plantae/FV0307-Cyperus capitatus-Vand.-eg_no-ee_no--ns--HS_LHR-F01838.jpg	FV0307	Cyperus capitatus	Vand.	NO	NO	-	Nativo seguro	Especie nativa	HS_LHR	F01838	23/04/2024	27.9573107777778	-15.3825496666667	77.958	Juncia marina, Junquillo	Terrestre	Liliopsida	Cyperaceae	No endémico	Plantae	Spermatophyta	NA	Cyperales	Ps Ts Cs Fs Ls
images/dropbox_links_plantae/FV0310-Adenocarpus foliolosus-(Aiton) DC.-eg_no-ee_si--ns--BF_P-F00475.jpg	FV0310	Adenocarpus foliolosus	(Aiton) DC.	NO	SI	-	Nativo seguro	Especie nativa	BF_P	F00475	23/04/2024	28.0046986666667	-15.5993305833333	1572.824	Codeso de monte	Terrestre	Magnoliopsida	Fabaceae	Endémico	Plantae	Spermatophyta	NA	Fabales	Hs Ps Gs Ts Cs
images/dropbox_links_plantae/FV0314-Asphodelus ramosus-L.-eg_no-ee_no-es_no-np---F02188.jpg	FV0314	Asphodelus ramosus	L.	NO	NO	NO	Nativo probable	Especie nativa		F02188	23/04/2024	27.9885631388889	-15.5780331944444	1639.37	NA	Terrestre	Liliopsida	Xanthorrhoeaceae	No endémico	Plantae	Spermatophyta	NA	Asparagales	Hs Ps Gs Ts Cs Fs Ls
images/dropbox_links_plantae/FV0315-Muscari comosum-(L.) Mill.-eg_no-ee_no--np--LHR-F01755.jpg	FV0315	Muscari comosum	(L.) Mill.	NO	NO	-	Nativo probable	Especie nativa	LHR	F01755	23/04/2024	27.9877745833333	-15.5776478888889	1623.844	Jacinto silvestre, cebolleta	Terrestre	Liliopsida	Asparagaceae	No endémico	Plantae	Spermatophyta	NA	Asparagales	Hs Ps Gs Ts Cs Fs Ls
images/dropbox_links_plantae/FV0316-Muscari comosum-(L.) Mill.-eg_no-ee_no--np--LHR-F01755.jpg	FV0316	Muscari comosum	(L.) Mill.	NO	NO	-	Nativo probable	Especie nativa	LHR	F01755	23/04/2024	27.9877832222222	-15.5776173055556	1627.476	Jacinto silvestre, cebolleta	Terrestre	Liliopsida	Asparagaceae	No endémico	Plantae	Spermatophyta	NA	Asparagales	Hs Ps Gs Ts Cs Fs Ls
images/dropbox_links_plantae/FV0321-Muscari comosum-(L.) Mill.-eg_no-ee_no--np--LHR-F01755.jpg	FV0321	Muscari comosum	(L.) Mill.	NO	NO	-	Nativo probable	Especie nativa	LHR	F01755	23/04/2024	27.9693105277778	-15.56793925	1901.775	Jacinto silvestre, cebolleta	Terrestre	Liliopsida	Asparagaceae	No endémico	Plantae	Spermatophyta	NA	Asparagales	Hs Ps Gs Ts Cs Fs Ls
images/dropbox_links_plantae/FV0328-Artemisia thuscula-Cav.-eg_no-ee_si--ns--TC_BT_LHR-F01428.jpg	FV0328	Artemisia thuscula	Cav.	NO	SI	-	Nativo seguro	Especie nativa	TC_BT_LHR	F01428	12/05/2024	28.0373636111111	-15.5020786388889	490.945	Incienso canario, incienso morisco, abrotano, incensio	Terrestre	Magnoliopsida	Asteraceae	Endémico	Plantae	Spermatophyta	NA	Asterales	Hs Ps Gs Ts Cs
images/dropbox_links_plantae/FV0331-Suaeda vermiculata-Forssk. ex J. F. Gmel.-eg_no-ee_no--isn-ei-CC_HMRN-F02407.jpg	FV0331	Suaeda vermiculata	Forssk. ex J. F. Gmel.	NO	NO	-	Introducido seguro no invasor	Especie introducida	CC_HMRN	F02407	16/05/2024	27.8858275277778	-15.3953103055556	46.31	NA	Terrestre	Magnoliopsida	Chenopodiaceae	No endémico	Plantae	Spermatophyta	NA	Caryophyllales	Ts Cs Fs Ls
images/dropbox_links_plantae/FV0332-Suaeda vera-Forssk. ex J.F. Gmel.-eg_no-ee_no--ns--CC_HS-F00279.jpg	FV0332	Suaeda vera	Forssk. ex J.F. Gmel.	NO	NO	-	Nativo seguro	Especie nativa	CC_HS	F00279	16/05/2024	27.8855311944444	-15.3952507777778	46.628	Matomoro común	Terrestre	Magnoliopsida	Chenopodiaceae	No endémico	Plantae	Spermatophyta	NA	Caryophyllales	Gs Ts Cs Fs Ls
images/dropbox_links_plantae/FV0333-Suaeda vera-Forssk. ex J.F. Gmel.-eg_no-ee_no--ns--CC_HS-F00279.jpg	FV0333	Suaeda vera	Forssk. ex J.F. Gmel.	NO	NO	-	Nativo seguro	Especie nativa	CC_HS	F00279	16/05/2024	27.8855376666667	-15.3952034166667	45.793	Matomoro común	Terrestre	Magnoliopsida	Chenopodiaceae	No endémico	Plantae	Spermatophyta	NA	Caryophyllales	Gs Ts Cs Fs Ls
images/dropbox_links_plantae/FV0334-Suaeda vera-Forssk. ex J.F. Gmel.-eg_no-ee_no--ns--CC_HS-F00279.jpg	FV0334	Suaeda vera	Forssk. ex J.F. Gmel.	NO	NO	-	Nativo seguro	Especie nativa	CC_HS	F00279	16/05/2024	27.8852222222222	-15.39505425	47.856	Matomoro común	Terrestre	Magnoliopsida	Chenopodiaceae	No endémico	Plantae	Spermatophyta	NA	Caryophyllales	Gs Ts Cs Fs Ls
images/dropbox_links_plantae/FV0337-Aizoon canariense-L.-eg_no-ee_no--ns--HMRN-F00076.jpg	FV0337	Aizoon canariense	L.	NO	NO	-	Nativo seguro	Especie nativa	HMRN	F00076	16/05/2024	27.8847566666667	-15.3952635	49.442	Pata perro, patilla	Terrestre	Magnoliopsida	Aizoaceae	No endémico	Plantae	Spermatophyta	NA	Caryophyllales	Hs Ps Gs Ts Cs Fs Ls
images/dropbox_links_plantae/FV0339-Mesembryanthemum crystallinum-L.-eg_no-ee_no--np--LHR-F00083.jpg	FV0339	Mesembryanthemum crystallinum	L.	NO	NO	-	Nativo probable	Especie nativa	LHR	F00083	16/05/2024	27.884706	-15.3951841666667	45.605	Barrilla, escarchosa, escarcha	Terrestre	Magnoliopsida	Aizoaceae	No endémico	Plantae	Spermatophyta	NA	Caryophyllales	Hs Ps Gs Ts Cs Fs Ls
images/dropbox_links_plantae/FV0341-Suaeda vera-Forssk. ex J. F. Gmel.-eg_no-ee_no--ns--CC_HS-F00279.jpg	FV0341	Suaeda vera	Forssk. ex J. F. Gmel.	NO	NO	-	Nativo seguro	Especie nativa	CC_HS	F00279	16/05/2024	27.8847673611111	-15.3952616944444	49.046	Matomoro común	Terrestre	Magnoliopsida	Chenopodiaceae	No endémico	Plantae	Spermatophyta	NA	Caryophyllales	Gs Ts Cs Fs Ls
images/dropbox_links_plantae/FV0341-Suaeda vera-Forssk. ex J.F. Gmel.-eg_no-ee_no--ns--CC_HS-F00279.jpg	FV0341	Suaeda vera	Forssk. ex J.F. Gmel.	NO	NO	-	Nativo seguro	Especie nativa	CC_HS	F00279	16/05/2024	27.8847673611111	-15.3952616944444	49.046	Matomoro común	Terrestre	Magnoliopsida	Chenopodiaceae	No endémico	Plantae	Spermatophyta	NA	Caryophyllales	Gs Ts Cs Fs Ls
images/dropbox_links_plantae/FV0342-Mesembryanthemum nodiflorum-L.-eg_no-ee_si--np--LHR-F00084.jpg	FV0342	Mesembryanthemum nodiflorum	L.	NO	SI	-	Nativo probable	Especie nativa	LHR	F00084	16/05/2024	27.8848083888889	-15.3950653055556	48.753	Cosco, barrilla, bastoncil	Terrestre	Magnoliopsida	Aizoaceae	No endémico	Plantae	Spermatophyta	NA	Caryophyllales	Hs Ps Gs Ts Cs Fs Ls
images/dropbox_links_plantae/FV0343-Mesembryanthemum crystallinum-L.-eg_no-ee_no--np--LHR-F00083.jpg	FV0343	Mesembryanthemum crystallinum	L.	NO	NO	-	Nativo probable	Especie nativa	LHR	F00083	16/05/2024	27.88482425	-15.3950711944444	46.514	Barrilla, escarchosa, escarcha	Terrestre	Magnoliopsida	Aizoaceae	No endémico	Plantae	Spermatophyta	NA	Caryophyllales	Hs Ps Gs Ts Cs Fs Ls
images/dropbox_links_plantae/FV0345-Melia azedarach-L.-eg_no-ee_no--isi-ei--F00701.jpg	FV0345	Melia azedarach	L.	NO	NO	-	Introducido seguro invasor	Especie introducida		F00701	16/05/2024	28.0678679166667	-15.4547966944444	371.625	Árbol del paraíso, cinamomo, chinaberry	Terrestre	Magnoliopsida	Meliaceae	No endémico	Plantae	Spermatophyta	NA	Sapindales	Hs Ps Ts Cs
images/dropbox_links_plantae/FV0346-Lavandula canariensis-Mill.-eg_no-ee_si--ns---E09113.jpg	FV0346	Lavandula canariensis	Mill.	NO	SI	-	Nativo seguro	Especie nativa		E09113	16/05/2024	28.0678783055556	-15.4548671944444	382.714	Matorrisco común, hierba risco, chivera, lavanda	Terrestre	Magnoliopsida	Lamiaceae	Endémico	Plantae	Spermatophyta	NA	Lamiales	Hs Ps Gs Ts Cs Fs Ls
images/dropbox_links_plantae/FV0347-Convolvulus floridus-L. f.-eg_no-ee_si--ns--TC_BT-F01141.jpg	FV0347	Convolvulus floridus	L. f.	NO	SI	-	Nativo seguro	Especie nativa	TC_BT	F01141	16/05/2024	28.0679484444444	-15.4548204444444	382.721	Guaydil, guaidil, anuel	Terrestre	Magnoliopsida	Convolvulaceae	Endémico	Plantae	Spermatophyta	NA	Solanales	Hs Ps Gs Ts Cs Fs Ls
images/dropbox_links_plantae/FV0352-Launaea arborescens-(Batt.) Murb.-eg_no-ee_no--ns--CC_LHR-F01584.jpg	FV0352	Launaea arborescens	(Batt.) Murb.	NO	NO	-	Nativo seguro	Especie nativa	CC_LHR	F01584	17/05/2024	27.9818740833333	-15.7729531111111	124.934	Ahulaga, aulaga, julaga	Terrestre	Magnoliopsida	Asteraceae	No endémico	Plantae	Spermatophyta	NA	Asterales	Hs Ps Gs Ts Cs Fs Ls
images/dropbox_links_plantae/FV0353-Lavandula canariensis-Mill.-eg_no-ee_si--ns---E09113.jpg	FV0353	Lavandula canariensis	Mill.	NO	SI	-	Nativo seguro	Especie nativa		E09113	17/05/2024	27.9818610555556	-15.7729368611111	124.662	Matorrisco común, hierba risco, chivera, lavanda	Terrestre	Magnoliopsida	Lamiaceae	Endémico	Plantae	Spermatophyta	NA	Lamiales	Hs Ps Gs Ts Cs Fs Ls
images/dropbox_links_plantae/FV0358-Aizoon canariense-L.-eg_no-ee_no--ns--HMRN-F00076.jpg	FV0358	Aizoon canariense	L.	NO	NO	-	Nativo seguro	Especie nativa	HMRN	F00076	17/05/2024	27.9826343055556	-15.7731056388889	120.343	Pata perro, patilla	Terrestre	Magnoliopsida	Aizoaceae	No endémico	Plantae	Spermatophyta	NA	Caryophyllales	Hs Ps Gs Ts Cs Fs Ls
images/dropbox_links_plantae/FV0362-Lavandula canariensis-Mill.-eg_no-ee_si--ns---E09113.jpg	FV0362	Lavandula canariensis	Mill.	NO	SI	-	Nativo seguro	Especie nativa		E09113	17/05/2024	27.9828363888889	-15.7731743055556	118.818	Matorrisco común, hierba risco, chivera, lavanda	Terrestre	Magnoliopsida	Lamiaceae	Endémico	Plantae	Spermatophyta	NA	Lamiales	Hs Ps Gs Ts Cs Fs Ls
images/dropbox_links_plantae/FV0363-Rumex lunaria-L.-eg_no-ee_si--ns--BT_LHR_HMRN-F00295.jpg	FV0363	Rumex lunaria	L.	NO	SI	-	Nativo seguro	Especie nativa	BT_LHR_HMRN	F00295	17/05/2024	27.983048	-15.7731789166667	119.05	Vinagrera, calcosa	Terrestre	Magnoliopsida	Polygonaceae	Endémico	Plantae	Spermatophyta	NA	Polygonales	Hs Ps Gs Ts Cs Ft Lt
images/dropbox_links_plantae/FV0365-Mesembryanthemum crystallinum-L.-eg_no-ee_no--np--LHR-F00083.jpg	FV0365	Mesembryanthemum crystallinum	L.	NO	NO	-	Nativo probable	Especie nativa	LHR	F00083	17/05/2024	27.9831805833333	-15.7732375555556	113.684	Barrilla, escarchosa, escarcha	Terrestre	Magnoliopsida	Aizoaceae	No endémico	Plantae	Spermatophyta	NA	Caryophyllales	Hs Ps Gs Ts Cs Fs Ls
images/dropbox_links_plantae/FV0366-Euphorbia balsamifera-Aiton-eg_no-ee_no--ns---F02227.jpg	FV0366	Euphorbia balsamifera	Aiton	NO	NO	-	Nativo seguro	Especie nativa		F02227	17/05/2024	27.9826377777778	-15.7727211944444	118.099	Tabaiba dulce	Terrestre	Magnoliopsida	Euphorbiaceae	No endémico	Plantae	Spermatophyta	NA	Malpighiales	Hs Ps Gs Ts Cs Fs Ls
images/dropbox_links_plantae/FV0370-Maireana brevifolia-(R. Br.) P.G. Wilson-eg_no-ee_no--isi-ei--F02075.jpg	FV0370	Maireana brevifolia	(R. Br.) P.G. Wilson	NO	NO	-	Introducido seguro invasor	Especie introducida		F02075	17/05/2024	27.9835872777778	-15.7734465833333	110	Mato azul, pinillo de Mairena	Terrestre	Magnoliopsida	Chenopodiaceae	No endémico	Plantae	Spermatophyta	NA	Caryophyllales	Cs Fs
images/dropbox_links_plantae/FV0371-Kleinia neriifolia-Haw.-eg_no-ee_si--ns--TC_BT_LHR_ZU-F01578.jpg	FV0371	Kleinia neriifolia	Haw.	NO	SI	-	Nativo seguro	Especie nativa	TC_BT_LHR_ZU	F01578	17/05/2024	27.9836548333333	-15.7735160555556	112.946	Verode, verol	Terrestre	Magnoliopsida	Asteraceae	Endémico	Plantae	Spermatophyta	NA	Asterales	Hs Ps Gs Ts Cs Fs Ls
images/dropbox_links_plantae/FV0372-Schizogyne glaberrima-DC-eg_no-ee_si--ns--TC-F01647.jpg	FV0372	Schizogyne glaberrima	DC	NO	SI	-	Nativo seguro	Especie nativa	TC	F01647	17/05/2024	27.9826377777778	-15.7727211944444	118.099	Salado verde	Terrestre	Magnoliopsida	Asteraceae	Endémico	Plantae	Spermatophyta	NA	Asterales	Ts Cs Fs
images/dropbox_links_plantae/FV0373-Rumex lunaria-L.-eg_no-ee_si--ns--BT_LHR_HMRN-F00295.jpg	FV0373	Rumex lunaria	L.	NO	SI	-	Nativo seguro	Especie nativa	BT_LHR_HMRN	F00295	17/05/2024	27.9838780833333	-15.7737127777778	122.002	Vinagrera, calcosa	Terrestre	Magnoliopsida	Polygonaceae	Endémico	Plantae	Spermatophyta	NA	Polygonales	Hs Ps Gs Ts Cs Ft Lt
images/dropbox_links_plantae/FV0374-Sonchus leptocephalus-Cass.-eg_no-ee_si--ns--LRH_ER_ZU-F01574.jpg	FV0374	Sonchus leptocephalus	Cass.	NO	SI	-	Nativo seguro	Especie nativa	LRH_ER_ZU	F01574	17/05/2024	27.9839185833333	-15.7738375833333	118.535	balillo alpispillo,alpípere	Terrestre	Magnoliopsida	Asteraceae	Endémico	Plantae	Spermatophyta	NA	Asterales	Gs Ts Cs Fs Ld
images/dropbox_links_plantae/FV0376-Artemisia thuscula-Cav.-eg_no-ee_si--ns--TC_BT_LHR-F01428.jpg	FV0376	Artemisia thuscula	Cav.	NO	SI	-	Nativo seguro	Especie nativa	TC_BT_LHR	F01428	17/05/2024	27.9844831666667	-15.7745703888889	115.028	Incienso canario, incienso morisco, abrotano, incensio	Terrestre	Magnoliopsida	Asteraceae	Endémico	Plantae	Spermatophyta	NA	Asterales	Hs Ps Gs Ts Cs
